CNPJ_CIA;DENOM_CIA;TICKER
16.811.931/0001-00;ALPHAVILLE SA;AVLL3.SA
16.922.038/0001-51;ENJOEI SA;ENJU3.SA
17.155.730/0001-64;CIA ENERGETICA DE MINAS GERAIS - CEMIG;CMIG4.SA
17.159.005/0001-64;FIACAO E TECELAGEM SAO JOSE SA;FTSJ4.SA
17.193.806/0001-46;CONSORCIO ALFA DE ADMINISTRACAO SA;NAO_ENCONTRADO
17.245.234/0001-00;CIA FIACAO TECIDOS CEDRO CACHOEIRA;CEDO4.SA
17.281.106/0001-03;CIA SANEAMENTO DE MINAS GERAIS-COPASA MG;CSMG3.SA
17.314.329/0001-20;INTERNATIONAL MEAL COMPANY ALIMENTACAO SA;MEAL3.SA
17.346.997/0001-39;;NOME_AUSENTE
17.943.792/0001-30;;NOME_AUSENTE
18.174.270/0001-84;DOTZ SA;DOTZ3.SA
18.328.118/0001-09;PET CENTER COMÉRCIO E PARTICIPAÇÕES SA;PETZ3.SA
18.483.666/0001-03;HUMBERG AGRIBRASIL COMÉRCIO E EXPORTAÇÃO DE GRÃOS SA;NAO_ENCONTRADO
18.572.225/0001-88;;NOME_AUSENTE
18.593.815/0001-97;PRINER SERVIÇOS INDUSTRIAIS SA;PRNR3.SA
18.903.785/0001-78;HOLDING DO ARAGUAIA SA;NAO_ENCONTRADO
19.014.221/0001-47;CHINA THREE GORGES BRASIL ENERGIA SA;NAO_ENCONTRADO
19.276.528/0001-16;;NOME_AUSENTE
19.296.342/0001-29;;NOME_AUSENTE
19.378.769/0001-76;;NOME_AUSENTE
19.403.252/0001-90;EMCCAMP RESIDENCIAL SA;NAO_ENCONTRADO
19.526.748/0001-50;COMPANHIA INDUSTRIAL CATAGUASES;CATA4.SA
19.688.956/0001-56;;NOME_AUSENTE
19.796.586/0001-70;BRISANET PARTICIPAÇÕES SA;BRIT3.SA
19.853.511/0001-84;;NOME_AUSENTE
20.247.322/0001-47;ALLIED TECNOLOGIA SA;ALLD3.SA
20.258.278/0001-70;OUROFINO SA;OFSA3.SA
20.512.706/0001-40;VITRU BRASIL EMPREENDIMENTOS, PARTICIPAÇÕES E COMÉRCIO SA;NAO_ENCONTRADO
21.110.778/0001-23;OLIVEIRA TRUST SA;NAO_ENCONTRADO
21.240.146/0001-84;AGROGALAXY PARTICIPAÇÕES SA;AGXY3.SA
21.255.567/0001-89;CIA TECIDOS SANTANENSE;CTSA4.SA
21.314.559/0001-66;MOVIDA PARTICIPACOES SA;MOVI3.SA
21.389.501/0001-81;COMPASS GÁS E ENERGIA SA;NAO_ENCONTRADO
22.164.990/0001-36;;NOME_AUSENTE
22.543.331/0001-00;CAIXA SEGURIDADE PARTICIPAÇÕES SA;CXSE3.SA
22.677.520/0001-76;CIA TECIDOS NORTE DE MINAS COTEMINAS;CTNM4.SA
22.770.366/0001-82;;NOME_AUSENTE
23.041.875/0001-37;ALMACENES ÉXITO SA;EXCO32.SA
23.236.821/0001-27;PATRIMAR ENGENHARIA SA;PATR3.SA
23.373.000/0001-32;VAMOS LOCAÇÃO DE CAMINHÕES, MÁQUINAS E EQUIPAMENTOS SA;VAMO3.SA
23.438.929/0001-00;ALARES INTERNET PARTICIPAÇÕES S/A;NAO_ENCONTRADO
24.230.275/0001-80;PLANO & PLANO DESENVOLVIMENTO IMOBILIÁRIO SA;PLPL3.SA
24.396.489/0001-20;BRK AMBIENTAL PARTICIPAÇÕES SA;NAO_ENCONTRADO
24.624.551/0001-94;ARGO ENERGIA EMPREENDIMENTOS E PARTICIPAÇÕES S/A;NAO_ENCONTRADO
24.921.465/0001-43;BLUEFIT ACADEMIAS DE GINÁSTICA E PARTICIPAÇÕES SA;NAO_ENCONTRADO
24.990.777/0001-09;GRUPO MATEUS SA;GMAT3.SA
25.249.439/0001-83;HOSPITAL CARE CALEDONIA SA;NAO_ENCONTRADO
25.329.319/0001-96;;NOME_AUSENTE
25.369.840/0001-57;COMERC ENERGIA SA;NAO_ENCONTRADO
26.345.998/0001-50;TC SA;TRAD3.SA
26.462.693/0001-28;LAVVI EMPREENDIMENTOS IMOBILIÁRIOS SA;LAVV3.SA
26.659.061/0001-59;MPM CORPÓREOS SA;ESPA3.SA
27.093.558/0001-15;MILLS LOCAÇÃO, SERVIÇOS E LOGÍSTICA SA;MILS3.SA
28.201.130/0001-01;ENERGISA TRANSMISSÃO DE ENERGIA S/A;NAO_ENCONTRADO
28.500.320/0001-20;;NOME_AUSENTE
28.594.234/0001-23;AUREN ENERGIA SA;AURE3.SA
29.780.061/0001-09;SAO CARLOS EMPREEND E PARTICIPACOES SA;SCAR3.SA
29.978.814/0001-87;;NOME_AUSENTE
29.980.141/0001-08;OCEÂNICA ENGENHARIA E CONSULTORIA SA;NAO_ENCONTRADO
30.213.493/0001-09;TEGRA INCORPORADORA SA;TEGA3.SA
30.540.991/0001-66;HAGA SA INDUSTRIA E COMERCIO;NAO_ENCONTRADO
31.001.230/0001-07;CELEO REDES TRANSMISSÃO DE ENERGIA SA;NAO_ENCONTRADO
31.553.627/0001-01;GRUPO TOKY SA;NAO_ENCONTRADO
31.701.408/0001-14;;NOME_AUSENTE
31.748.174/0001-60;VERO SA;NAO_ENCONTRADO
32.681.371/0001-72;VIX LOGÍSTICA SA;NAO_ENCONTRADO
32.785.497/0001-97;NATURA &CO HOLDING SA;NTCO3.SA
33.000.167/0001-01;PETROLEO BRASILEIRO SA PETROBRAS;PETR4.SA
33.009.911/0001-39;;NOME_AUSENTE
33.014.556/0001-96;;NOME_AUSENTE
33.035.536/0001-00;JOAO FORTES ENGENHARIA SA;JFEN3.SA
33.039.223/0001-11;;NOME_AUSENTE
33.041.260/0652-90;GRUPO CASAS BAHIA SA;BHIA3.SA
33.042.730/0001-04;CIA SIDERURGICA NACIONAL;CSNA3.SA
33.102.476/0001-92;MONTEIRO ARANHA SA;MOAR3.SA
33.111.246/0001-90;;NOME_AUSENTE
33.113.309/0001-47;VALID SOLUÇÕES SA;VLID3.SA
33.130.691/0001-05;WILSON SONS SA;PORT3.SA
33.200.049/0001-47;HOTEIS OTHON SA;HOOT4.SA
33.228.024/0001-51;WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS SA;WLMM4.SA
33.256.439/0001-39;ULTRAPAR PARTICIPACOES SA;UGPA3.SA
33.386.210/0001-19;SONDOTECNICA ENGENHARIA SOLOS SA;SOND6.SA
33.412.081/0001-96;REFINARIA DE PETROLEOS MANGUINHOS SA;RPMG3.SA
33.453.598/0001-23;RAÍZEN SA;RAIZ4.SA
33.467.572/0001-34;TEKNO SA - INDUSTRIA E COMERCIO;TKNO4.SA
33.541.368/0001-16;;NOME_AUSENTE
33.592.510/0001-54;VALE SA;VALE3.SA
33.611.500/0001-19;GERDAU SA;GGBR4.SA
33.839.910/0001-11;VIVARA PARTICIPAÇÕES SA;VIVA3.SA
33.937.681/0001-78;;NOME_AUSENTE
33.958.695/0001-78;UNIPAR CARBOCLORO SA;UNIP6.SA
34.274.233/0001-02;VIBRA ENERGIA S/A;VBBR3.SA
35.502.310/0001-99;;NOME_AUSENTE
35.727.157/0001-06;EZ INC INCORPORAÇÕES SA;NAO_ENCONTRADO
35.791.391/0001-94;QUALITY SOFTWARE SA;QUSW3.SA
36.542.025/0001-64;BRQ SOLUCOES EM INFORMATICA SA;NAO_ENCONTRADO
37.663.076/0001-07;AUREN PARTICIPAÇÕES SA;NAO_ENCONTRADO
37.702.340/0001-74;MONTE RODOVIAS SA;NAO_ENCONTRADO
38.126.888/0001-86;;NOME_AUSENTE
38.199.406/0001-18;RIO ALTO ENERGIAS RENOVÁVEIS SA;NAO_ENCONTRADO
38.456.921/0001-36;INFRACOMMERCE CXAAS SA;IFCM3.SA
38.482.780/0001-26;ANEMUS WIND HOLDING SA;NAO_ENCONTRADO
39.346.861/0350-38;CENCOSUD BRASIL COMERCIAL SA;NAO_ENCONTRADO
39.881.421/0001-04;COMPANHIA ESTADUAL DE GERAÇÃO DE ENERGIA ELÉTRICA - CEEE-G;EEEL4.SA
40.159.947/0001-64;HMOBI PARTICIPAÇÕES SA;NAO_ENCONTRADO
40.337.136/0001-06;TERRA SANTA PROPRIEDADES AGRÍCOLAS SA;TESA3.SA
40.480.481/0001-02;RIO ALTO STL HOLDING I SA;NAO_ENCONTRADO
41.052.420/0001-07;SOLAR BEBIDAS SA;NAO_ENCONTRADO
41.508.382/0001-46;RODOVIAS DO BRASIL HOLDING SA;NAO_ENCONTRADO
42.150.391/0001-70;BRASKEM SA;BRKM5.SA
42.278.291/0001-24;LOG-IN LOGISTICA INTERMODAL SA;LOGN3.SA
42.278.473/0001-03;WIZ CO PARTICIPAÇÕES E CORRETAGEM DE SEGUROS SA;WIZC3.SA
42.331.462/0001-31;EMBPAR PARTICIPAÇÕES S/A;EPAR3.SA
42.500.384/0001-51;SERENA ENERGIA SA;SRNA3.SA
42.737.954/0001-21;INTER & CO, INC.;INBR32.SA
42.771.949/0001-35;ALLIANÇA SAÚDE E PARTICIPAÇÕES SA;AALR3.SA
43.185.362/0001-07;;NOME_AUSENTE
43.470.988/0001-65;EVEN CONSTRUTORA E INCORPORADORA SA;EVEN3.SA
43.948.405/0001-69;LUPO SA;NAO_ENCONTRADO
45.242.914/0001-05;C&A MODAS SA;CEAB3.SA
45.365.558/0001-09;VITTIA SA;VITT3.SA
45.453.214/0001-51;PROFARMA DISTRIB PROD FARMACEUTICOS SA;PFRM3.SA
45.987.245/0001-92;BIOMA EDUCAÇÃO SA;NAO_ENCONTRADO
46.014.635/0001-49;;NOME_AUSENTE
47.508.411/0001-56;CIA BRASILEIRA DE DISTRIBUICAO;PCAR3.SA
47.960.950/0001-21;MAGAZINE LUIZA SA;MGLU3.SA
49.263.189/0001-02;HELBOR EMPREENDIMENTOS SA;HBOR3.SA
49.669.856/0001-43;VESTE SA ESTILO;VSTE3.SA
50.564.053/0001-03;BOMBRIL SA;BOBR4.SA
50.746.577/0001-15;COSAN SA;CSAN3.SA
50.926.955/0001-42;VULCABRAS SA;VULC3.SA
51.128.999/0001-90;NUTRIPLANT INDUSTRIA E COMERCIO SA;NUTR3.SA
51.218.147/0001-93;IGUATEMI EMPRESA DE SHOPPING CENTERS SA;IGTI11.SA
51.466.860/0001-56;SAO MARTINHO SA;SMTO3.SA
51.928.174/0001-50;PLASCAR PARTICIPACOES INDUSTRIAIS SA;PLAS3.SA
52.548.435/0001-79;JSL SA;JSLG3.SA
53.113.791/0001-22;TOTVS SA;TOTS3.SA
53.790.218/0001-53;;NOME_AUSENTE
54.526.082/0001-31;;NOME_AUSENTE
56.643.018/0001-66;EUCATEX SA INDUSTRIA E COMERCIO;EUCX4.SA
56.720.428/0001-63;ROMI SA;ROMI3.SA
56.992.423/0001-90;;NOME_AUSENTE
58.119.199/0001-51;ODONTOPREV SA;ODPV3.SA
58.430.828/0001-60;BLAU FARMACÊUTICA SA;BLAU3.SA
59.105.999/0001-86;WHIRLPOOL SA;WHRL4.SA
59.418.806/0001-47;TRACK & FIELD CO SA;TFCO4.SA
59.717.553/0001-02;GRUPO MULTI SA;NAO_ENCONTRADO
59.981.829/0001-65;RODOBENS SA;NAO_ENCONTRADO
60.398.369/0004-79;PARANAPANEMA SA;PMAM3.SA
60.476.884/0001-87;MAHLE METAL LEVE SA;LEVE3.SA
60.500.139/0001-26;;NOME_AUSENTE
60.537.263/0001-66;ALLPARK EMPREENDIMENTOS, PARTICIPAÇÕES E SERVIÇOS SA;ALPK3.SA
60.543.816/0001-93;IGUATEMI SA;IGTI11.SA
60.637.238/0001-54;;NOME_AUSENTE
60.643.228/0001-21;;NOME_AUSENTE
60.651.809/0001-05;SUZANO HOLDING SA;NEMO3.SA
60.665.981/0001-18;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL SA;NAO_ENCONTRADO
60.730.348/0001-66;CIA MELHORAMENTOS DE SAO PAULO;MSPA4.SA
60.840.055/0001-31;FLEURY SA;FLRY3.SA
60.851.615/0001-53;BARDELLA SA INDUSTRIAS MECANICAS;BDLL4.SA
60.894.730/0001-05;USINAS SID DE MINAS GERAIS SA-USIMINAS;USIM5.SA
60.933.603/0001-78;CESP - CIA ENERGETICA DE SAO PAULO;CESP6.SA
61.022.042/0001-18;CONSTRUTORA ADOLPHO LINDENBERG SA;CALI3.SA
61.065.298/0001-02;MANGELS INDUSTRIAL SA;MGEL4.SA
61.065.751/0001-80;ROSSI RESIDENCIAL SA;RSID3.SA
61.067.161/0001-97;;NOME_AUSENTE
61.079.117/0001-05;ALPARGATAS SA;ALPA4.SA
61.080.313/0001-91;COBRASMA SA;CBMA4.SA
61.082.004/0001-50;MANUFATURA DE BRINQUEDOS ESTRELA SA;ESTR4.SA
61.088.894/0001-08;CAMBUCI SA;CAMB3.SA
61.092.037/0001-81;ETERNIT SA;ETER3.SA
61.156.113/0001-75;IOCHPE MAXION SA;MYPK3.SA
61.156.931/0001-78;ALIPERTI SA;APTI4.SA
61.189.288/0001-89;MARISA LOJAS SA;AMAR3.SA
61.190.096/0001-92;EUROFARMA LABORATÓRIOS SA;NAO_ENCONTRADO
61.351.532/0001-68;AZEVEDO E TRAVASSOS SA;AZEV4.SA
61.374.161/0001-30;BAUMER SA;BALM4.SA
61.409.892/0001-73;COMPANHIA BRASILEIRA DE ALUMÍNIO;CBAV3.SA
61.486.650/0001-83;DIAGNOSTICOS DA AMERICA SA;DASA3.SA
61.532.644/0001-15;ITAÚSA SA;ITSA4.SA
61.584.140/0001-49;REDE ENERGIA PARTICIPAÇÕES SA;NAO_ENCONTRADO
61.585.865/0001-51;RAIA DROGASIL SA;RADL3.SA
62.258.884/0001-36;INTERCEMENT BRASIL SA;NAO_ENCONTRADO
62.984.091/0001-02;CRUZEIRO DO SUL EDUCACIONAL SA;CSED3.SA
64.904.295/0001-03;CAMIL ALIMENTOS SA;CAML3.SA
67.010.660/0001-24;RNI NEGÓCIOS IMOBILIÁRIOS SA;RDNI3.SA
67.571.414/0001-41;VIVER INCORPORADORA E CONSTRUTORA SA;VIVR3.SA
67.620.377/0001-14;MINERVA SA;BEEF3.SA
71.208.516/0001-74;ALGAR TELECOM S/A;NAO_ENCONTRADO
71.476.527/0001-35;CONSTRUTORA TENDA SA;TEND3.SA
71.550.388/0001-42;;NOME_AUSENTE
71.673.990/0001-77;NATURA COSMÉTICOS SA;NTCO3.SA
73.178.600/0001-18;CYRELA BRAZIL REALTY S.A.EMPREEND E PART;CYRE3.SA
75.315.333/0001-09;ATACADÃO SA;CRFB3.SA
75.609.123/0001-23;UNIDAS LOCAÇÕES E SERVIÇOS SA;NAO_ENCONTRADO
76.483.817/0001-20;CIA PARANAENSE DE ENERGIA - COPEL;CPLE6.SA
76.500.180/0001-32;;NOME_AUSENTE
76.535.764/0001-43;OI SA;OIBR3.SA
76.627.504/0001-06;INEPAR SA INDUSTRIA E CONSTRUCOES;INEP4.SA
78.876.950/0001-71;;NOME_AUSENTE
79.430.682/0001-22;FARMÁCIA E DROGARIA NISSEI SA;NAO_ENCONTRADO
80.680.093/0001-81;SENIOR SISTEMAS SA;NAO_ENCONTRADO
81.243.735/0001-48;POSITIVO TECNOLOGIA SA;POSI3.SA
82.120.676/0001-83;ALMEIDA JUNIOR SHOPPING CENTERS SA;NAO_ENCONTRADO
82.373.077/0001-71;;NOME_AUSENTE
82.636.986/0001-55;TEKA-TECELAGEM KUEHNRICH SA;TEKA4.SA
82.640.558/0001-04;KARSTEN SA;CTKA4.SA
82.641.325/0001-18;;NOME_AUSENTE
82.643.537/0001-34;ELECTRO ACO ALTONA SA;EALT4.SA
82.901.000/0001-27;INTELBRAS SA IND. DE TELECOMUNICAÇÃO ELETRÔNICA BRASILEIRA;INTB3.SA
82.981.929/0001-03;CIA INDUSTRIAL SCHLOSSER SA;NAO_ENCONTRADO
82.982.075/0001-80;TEXTIL RENAUXVIEW SA;TXRX4.SA
83.475.913/0001-91;PBG S/A;PTBL3.SA
83.878.892/0001-55;CENTRAIS ELET DE SANTA CATARINA SA;CLSC4.SA
84.208.123/0001-02;;NOME_AUSENTE
84.429.695/0001-11;WEG SA;WEGE3.SA
84.683.374/0001-49;TUPY SA;TUPY3.SA
84.683.408/0001-03;;NOME_AUSENTE
84.683.671/0001-94;WETZEL SA;MWET4.SA
84.684.455/0001-63;TIGRE SA PARTICIPAÇÕES;NAO_ENCONTRADO
84.693.183/0001-68;SCHULZ SA;SHUL4.SA
85.778.074/0001-06;METALURGICA RIOSULENSE SA;RSUL4.SA
86.375.425/0001-09;METISA METALURGICA TIMBOENSE SA;MTSA4.SA
86.550.951/0001-50;POMIFRUTAS S/A;FRTA3.SA
87.456.562/0001-22;JOSAPAR-JOAQUIM OLIVEIRA SA - PARTICIP;JOPA3.SA
87.762.563/0001-03;CIA HABITASUL DE PARTICIPACOES;HBTS5.SA
87.870.952/0001-44;BORRACHAS VIPAL SA;VSPT3.SA
88.610.126/0001-29;FRAS-LE SA;FRAS3.SA
88.610.191/0001-54;MUNDIAL SA - PRODUTOS DE CONSUMO;MNDL3.SA
88.611.835/0001-29;MARCOPOLO SA;POMO4.SA
88.613.658/0001-10;PETTENATI SA INDUSTRIA TEXTIL;PTNT4.SA
89.086.144/0001-16;RANDONCORP SA;RCSL4.SA
89.096.457/0001-55;SLC AGRICOLA SA;SLCE3.SA
89.463.822/0001-12;LUPATECH SA;LUPA3.SA
89.637.490/0001-45;KLABIN SA;KLBN11.SA
89.723.993/0001-33;CONSTRUTORA SULTEPA SA;SULT4.SA
89.850.341/0001-60;GRENDENE SA;GRND3.SA
90.076.886/0001-40;MINUPAR PARTICIPACOES SA;MNPR3.SA
90.441.460/0001-48;UNICASA INDÚSTRIA DE MÓVEIS SA;UCAS3.SA
91.333.666/0001-17;RECRUSUL SA;RCSL4.SA
91.495.499/0001-00;;NOME_AUSENTE
91.820.068/0001-72;;NOME_AUSENTE
91.983.056/0001-69;KEPLER WEBER SA;KEPL3.SA
92.012.467/0001-70;GRAZZIOTIN SA;CGRA4.SA
92.660.570/0001-26;TREVISA INVESTIMENTOS SA;NAO_ENCONTRADO
92.665.611/0001-77;DIMED SA DISTRIBUIDORA DE MEDICAMENTOS;PNVL3.SA
92.690.783/0001-09;METALURGICA GERDAU SA;GOAU4.SA
92.693.019/0001-89;PANATLANTICA SA;PATI3.SA
92.715.812/0001-31;CPFL TRANSMISSÃO SA;NAO_ENCONTRADO
92.754.738/0001-62;LOJAS RENNER SA;LREN3.SA
92.781.335/0001-02;TAURUS ARMAS SA;TASA4.SA
92.791.243/0001-03;IRANI PAPEL E EMBALAGEM SA;RANI3.SA
92.929.520/0001-00;;NOME_AUSENTE
96.298.013/0001-68;PACAEMBU CONSTRUTORA SA;NAO_ENCONTRADO
96.418.264/0218-02;LOJAS QUERO QUERO SA;LJQQ3.SA
97.191.902/0001-94;CONSERVAS ODERICH SA;ODER4.SA
97.837.181/0001-47;DEXCO SA;DXCO3.SA